year,iso,apd_eur,napd_eur
2015,NER,61013179.19,2653717.72
2015,NGA,238590680.40,211837.41
2015,NIC,185124533.62,111417283.37
2015,NPL,165367337.40,1800000.00
2015,PAK,8334592826.26,2602449220.23
2015,PAN,203529392.51,344398340.00
2015,PER,1235791032.89,50778352.00
2015,PHL,7550863015.22,1107471106.91
2015,PNG,112221350.00,0.00
2015,POL,11641630.31,1478000000.00
2015,ROU,505490666.00,104483524.56
2015,RUS,0.00,0.00
2015,SDN,854408184.63,2965190139.43
2015,SEN,645151711.96,79207104.18
2015,SLE,1084468.04,0.00
2015,SLV,364153018.52,0.00
2015,SOM,425143723.78,1025084344.43
2015,SRB,295128289.50,1885569470.19
2015,STP,1071840.60,24063161.97
2015,SUR,41949871.08,0.00
2015,SYC,45708099.08,24251700.92
2015,TCD,0.00,3540349.20
2015,TGO,9707751.00,3113910.00
2015,TJK,48978800.00,295787060.00
2015,TTO,0.00,101101381.00
2015,TUR,3934954409.29,3370631877.29
2015,TZA,552671324.64,48791514.54
2015,UKR,538469611.70,4208461966.19
2015,VCT,6007874.04,0.00
2015,VNM,13987919424.19,1629739323.80
2015,WSM,27100000.00,0.00
2015,YEM,412386661.86,1120016477.25
2015,ZMB,74537064.79,22684600.91
2016,AFG,1370330.00,1250100000.00
2016,AGO,451292245.30,852586170.39
2016,ALB,494819743.39,22619578.00
2016,ARG,661186633.59,5287805927.10
2016,ATG,3420000.00,118013932.27
2016,BDI,0.00,0.00
2016,BEN,4917224.34,14211109.28
2016,BFA,140251406.91,1054.10
2016,BGR,186303967.00,73589720.00
2016,BIH,249761589.34,374364169.52
2016,BOL,104538993.77,1760347.00
2016,BRA,0.00,0.00
2016,CAF,0.00,2012679.54
2016,CHL,90213780.70,0.00
2016,CIV,357534926.94,75204823.79
2016,CMR,537391934.78,24184785.35
2016,COD,22225370.80,52629052.73
2016,COG,23120877.06,307244544.64
2016,COM,0.00,2776628.48
2016,CPV,111404796.83,47079036.03
2016,CRI,238030712.89,0.00
2016,DJI,88279785.68,19340625.86
2016,DMA,28006382.91,10074063.00
2016,DOM,716348948.13,38308595.84
2016,DZA,520213809.92,1675592.50
2016,ECU,479314381.74,213790416.51
2016,EGY,7417912546.52,291439888.91
2016,ETH,333657952.44,230394868.23
2016,FJI,6800000.00,0.00
2016,GAB,224755302.03,327137316.88
2016,GEO,407092365.00,80270051.00
2016,GHA,771289503.26,417258011.48
2016,GIN,37392437.26,197381546.23
2016,GMB,1212076.05,6957060.00
2016,GNB,10066090.70,63849734.40
2016,GNQ,0.00,18322540.71
2016,GRD,4007773.07,4968505.22
2016,GTM,186067586.00,0.00
2016,GUY,3571731.68,0.00
2016,HND,187142889.44,34825207.74
2016,HRV,22882997.13,0.00
2016,HTI,0.00,0.00
2016,IDN,17153335391.73,4919990429.81
2016,IRQ,2406374728.45,7080330144.17
2016,JAM,86583176.64,2997691.22
2016,JOR,2173603943.86,78831517.25
2016,KEN,2056401418.22,248943159.39
2016,KGZ,334934499.17,283702159.00
2016,KHM,915293393.04,1398820006.98
2016,KNA,1970000.00,0.00
2016,LBR,0.00,0.00
2016,LCA,4704785.03,0.00
2016,LKA,4290871447.95,190985130.95
2016,LSO,5606757.90,0.00
2016,MAR,4479120547.48,269970134.01
2016,MDA,90965504.00,69847868.00
2016,MDG,61978050.15,80042164.00
2016,MDV,41043045.13,0.00
2016,MEX,1256149128.52,2610782697.19
2016,MKD,99822331.27,0.00
2016,MLI,138963437.41,347730.11
2016,MMR,2171399008.88,1172090491.71
2016,MNE,22341337.10,88941304.30
2016,MOZ,517459887.23,124819664.51
2016,MRT,119059353.36,130216385.51
2016,MWI,1616989.40,5800000.00
2016,NER,88866463.35,374216.49
2016,NGA,290214038.98,0.00
2016,NIC,206991366.43,102341429.04
2016,NPL,188111489.02,0.00
2016,PAK,8532451072.87,2407550860.05
2016,PAN,188545888.21,355308219.00
2016,PER,1190693773.84,29267272.00
2016,PHL,7512127166.08,1093051816.56
2016,PNG,125967880.00,0.00
2016,POL,9437629.91,1478000000.00
2016,ROU,497490647.69,89515156.03
2016,RUS,0.00,0.00
2016,SDN,860723562.07,2744985637.14
2016,SEN,672955502.88,87569445.88
2016,SLE,10409284.09,0.00
2016,SLV,325432694.29,0.00
2016,SOM,425993789.90,1030055928.24
2016,SRB,287352122.63,1804440985.00
2016,STP,1034072.10,18754743.97
2016,SUR,39730708.17,0.00
2016,SYC,29905917.96,17860542.62
2016,TCD,0.00,3321903.30
2016,TGO,9365678.50,0.00
2016,TJK,46532254.26,295667710.00
2016,TTO,0.00,79730920.00
2016,TUR,3714244966.22,3497446152.56
2016,TZA,719122091.48,343013568.00
2016,UKR,866183823.11,4084236821.58
2016,VCT,4849098.62,0.00
2016,VNM,15369944766.41,1836705253.87
2016,WSM,28000000.00,0.00
2016,YEM,419113900.92,1132744773.73
2016,ZMB,116252938.46,113423004.53
2017,AFG,1559090.00,1293600000.00
2017,AGO,485123470.33,1190164117.98
2017,ALB,539203792.20,19292018.05
2017,ARG,585784375.94,4885633168.04
2017,ATG,3420970.73,120592408.50
2017,BDI,0.00,0.00
2017,BEN,16986631.02,15155275.99
2017,BFA,196872414.99,4166.57
2017,BGR,179205343.00,37337084.00
2017,BIH,265888094.00,397012501.11
2017,BOL,247815506.14,2314649.00
2017,BRA,0.00,0.00
2017,CAF,0.00,1639018.94
2017,CHL,89452376.89,0.00
2017,CIV,229885089.44,78782180.92
2017,CMR,861395678.93,121671186.19
2017,COD,21293920.64,48193499.03
2017,COG,31327524.57,303620000.00
2017,COM,0.00,3180082.44
2017,CPV,151413014.23,59652696.94
2017,CRI,276166325.31,0.00
2017,DJI,94991984.02,16657878.52
2017,DMA,26755961.86,9777427.42
2017,DOM,729468171.77,18269327.49
2017,DZA,503749088.24,673975.21
2017,ECU,535431468.78,236926289.08
2017,EGY,7671112605.50,324558727.08
2017,ETH,394440958.64,246151000.00
2017,FJI,5900000.00,0.00
2017,GAB,316330103.22,329037313.26
2017,GEO,448434287.00,70600000.00
2017,GHA,923619712.88,374198603.40
2017,GIN,43257785.35,198239596.62
2017,GMB,674006.60,4449403.00
2017,GNB,10066090.70,63967263.50
2017,GNQ,0.00,20039619.21
2017,GRD,3921653.19,4647886.61
2017,GTM,186163189.28,0.00
2017,GUY,3719875.63,0.00
2017,HND,233048754.13,91967616.31
2017,HRV,23511661.40,0.00
2017,HTI,0.00,0.00
2017,IDN,16871295761.80,2753745727.31
2017,IRQ,3356454633.35,8413575429.64
2017,JAM,69414576.83,3837668.91
2017,JOR,2550973277.17,70619683.24
2017,KEN,2291218802.26,278996022.13
2017,KGZ,356294711.13,254308318.00
2017,KHM,1126897342.61,1398457693.52
2017,KNA,1973819.68,0.00
2017,LBR,0.00,0.00
2017,LCA,4460708.84,0.00
